項目別,總計,環保單位自行清運,環保單位委託清運,公私處所自行或委託清運
總計,57628649,5494273,107056,52027320
紙類,27020912,636636,92361,26291915
紙容器,951062,286407,726,663929
鋁箔包,871807,169663,1542,700602
鋁容器,561013,50424,1209,509380
鐵容器,1195055,213142,490,981423
其他金屬製品,10825688,121780,2445,10701463
塑膠容器,4637559,187936,1221,4448402
包裝用發泡塑膠,58875,38050,-,20825
其他塑膠製品,1009937,346293,1226,662418
輪胎,706503,117710,-,588793
玻璃容器,5514461,1702467,295,3811699
其他玻璃製品,478928,47800,-,431128
照明光源,118317,17210,4,101103
乾電池,82652,2310,-,80342
鉛蓄電池,174361,310,-,174051
家電,438734,48570,-,390164
資訊物品,230406,10740,96,219570
光碟片,12454,310,-,12144
行動電話(含充電器),4529,-,-,4529
農藥容器及特殊環境用藥容器,18682,30,-,18652
舊衣類,647062,81760,1980,563322
食用油,19248,690,-,18558
其他,2050404,1414035,3461,632908
